Site,Sku (Sykes),Sku (Magento),Product Title,Stock,Product Type,Size,Format,Cover,Material,Colour
Consumer,BB8182,8182,Busy B - Travel Set (Fashion),1189,Purses & Wallets,Small,,,Faux Leather,Pink
Consumer,BB6669,6669,Baby B - Baby Journal (Pink),1177,Planners & Organisers,Large,,Hard Cover,Paper,Pink
Consumer,BB0409,0409,Couples Calendar,1167,Calendars,Medium,Month to View,,Paper,Pink
Consumer,BB9660,9660,A6 To Do Diary ,1165,Diaries,Small,Week to View,Hard Cover,Paper,White
Consumer,BB9981,9981,Busy B - Pen Loop Blue/Red,1156,Pens & Pencils,Small,,,Pen,Blue
Consumer,BB7352,7352,Bride to B - Wedding To Do's (New Heart),1142,Planners & Organisers,Medium,,Hard Cover,Paper,White
Consumer,BB8618,8618,Bride to B - Wedding Countdown Cards (Romantic),1141,Planners & Organisers,Small,,,Paper,Pink
Consumer,BB8977,8977,Busy B - Busy Life Notebook - A6 Grey,1138,Notebook,Small,,Hard Cover,Faux Leather ,White
Consumer,BB6638,6638,Baby B - Grandparents Journal,1135,Planners & Organisers,Medium,,Hard Cover,Paper,Green
Consumer,BB7659,7659,Bride to B - Luggage Tags,1126,Purses & Wallets,Small,,,Faux Leather,Grey
Consumer,BB9844,9844,Gift Planner,1108,Planners & Organisers,Medium,,Hard Cover,Faux Leather,Gold
Consumer,BB9790,9790,Weekly Planner Pad,1093,List Pads,Medium,Week to View,,Paper,Navy
Consumer,BB9493,9493,Busy Life Diary ,1079,Diaries,Medium,Week to View,Hard Cover,Paper,Pink
Consumer,BB8861,8861,Busy B - Busy Life Notebook - A6 Red,1074,Notebook,Small,,Soft Cover,Paper,Red
Consumer,BB0000,0000,Busy B - Pen Loop Navy/Yellow,1071,Pens & Pencils,Small,,,Faux Leather,Navy
Consumer,BB9042,9042,Busy B - Busy Life Notebook - A5 Leopard,1043,Notebook,Medium,,Soft Cover,Paper,Blue
Consumer,BB9011,9011,Busy B - Busy Life Notebook - A5 Grey,1029,Notebook,Medium,,Hard Cover,Faux Leather,Grey
Consumer,BB9035,9035,Busy B - Busy Life Notebook - A5 Spot,993,Notebook,Medium,,Soft Cover,Paper,Pink
Consumer,BB7208,7208,Busy B - Page Markers (Contemp),990,Stickers & Notes,Small,,,Paper,Multi
Consumer,BB7611,7611,Bride to B - Page Markers,971,Stickers & Notes,Small,,,Paper,White
Consumer,BB9479,9479,Family Calendar ,970,Calendars,Medium,Month to View,,Paper,Pink
Consumer,BB8779,8779,Busy B - Weekly Planner Pad (Safari Nights),964,List Pads,Medium,Week to View,,Paper,Multi
Consumer,BB9578,9578,Perfect Planner,941,Planners & Organisers,Medium,Week to View,Hard Cover ,Faux Leather,Gold
Consumer,BB0331,0331,Study Cards (A6),912,Planners & Organisers,Small,,,Paper,Multi
